Date,WeekDay,O,H,L,C
04-06-04,6,24.1,24.1,23.6,23.74
07-06-04,2,24.6,24.8,24.5,24.76
09-06-04,4,24.9,24.9,24.6,24.6
10-06-04,5,24.2,24.2,24.2,24.2
14-06-04,2,22.98,22.98,22.98,22.98
15-06-04,3,22.91,22.91,22.61,22.63
17-06-04,5,22.94,22.94,22.94,22.94
18-06-04,6,23.8,23.8,23.43,23.65
21-06-04,2,23.5,23.5,23.5,23.5
22-06-04,3,22.75,22.75,22.3,22.75
08-07-04,5,22.7,22.7,22.7,22.7
20-07-04,3,23.98,23.98,23.98,23.98
22-07-04,5,23.6,23.6,23.6,23.6
26-07-04,2,24.1,24.1,24.1,24.1
12-08-04,5,24.1,24.1,24.1,24.1
09-09-04,5,24.6,24.6,24.6,24.6
10-09-04,6,24.33,24.79,24.33,24.79
14-09-04,3,24.2,24.2,24.2,24.2
15-09-04,4,24.5,25,24.5,25
23-09-04,5,26.5,26.5,26.5,26.5
24-09-04,6,26.1,26.1,26.1,26.1
27-09-04,2,26.05,26.05,25.65,25.65
28-09-04,3,25.6,25.99,25.6,25.99
29-09-04,4,25.5,25.7,25.5,25.7
30-09-04,5,25.55,26,25.53,26
01-10-04,6,25.79,26,25.5,26
06-10-04,4,26.8,26.8,26.8,26.8
02-11-04,3,25.7,25.7,25.43,25.43
03-11-04,4,26,26,26,26
04-11-04,5,27,27,27,27
29-11-04,2,29.5,29.5,29.5,29.5
02-12-04,5,32,32.2,31.5,32
06-12-04,2,33,33,33,33
22-12-04,4,33.4,33.4,33.4,33.4
23-12-04,5,33.55,33.55,33.55,33.55
24-12-04,6,34.2,34.2,33.9,33.9
27-12-04,2,34.5,34.5,34.1,34.1
29-12-04,4,34.4,34.4,34.4,34.4
30-12-04,5,34.4,35.15,34.4,35.15
03-01-05,2,35.1,35.1,35.1,35.1
05-01-05,4,35.8,35.8,35.8,35.8
10-01-05,2,34.3,34.3,34.3,34.3
13-01-05,5,31.8,31.8,31.8,31.8
14-01-05,6,33,33,33,33
17-01-05,2,33,33,32.2,32.2
31-01-05,2,34.8,34.8,34.8,34.8
02-02-05,4,34.8,34.8,34.8,34.8
03-02-05,5,35.7,35.7,35.7,35.7
04-02-05,6,35.4,35.4,35.4,35.4
09-02-05,4,34.8,34.8,34.8,34.8
21-02-05,2,34.79,35,34.79,35
24-02-05,5,36.2,36.2,36.2,36.2
28-02-05,2,37.59,37.59,37.59,37.59
01-03-05,3,37.36,37.36,37.36,37.36
02-03-05,4,38.05,38.05,37.8,37.8
03-03-05,5,38.2,38.2,38.2,38.2
07-03-05,2,38.93,41,38.93,40.75
08-03-05,3,40.1,40.3,39.61,39.61
10-03-05,5,40.1,40.1,40.1,40.1
14-03-05,2,39.7,39.7,39.7,39.7
22-03-05,3,37.1,37.1,37.1,37.1
24-03-05,5,35.2,35.2,35.2,35.2
29-03-05,3,35.4,35.7,35.4,35.4
30-03-05,4,34.4,34.6,34.4,34.6
31-03-05,5,36,36,35.7,35.7
01-04-05,6,36.25,36.58,36.25,36.58
18-04-05,2,34.2,34.2,34.1,34.1
19-04-05,3,34.7,34.7,34.7,34.7
25-04-05,2,34.7,35,34.7,35
26-04-05,3,35,35,35,35
28-04-05,5,34.15,34.15,33.8,33.8
04-05-05,4,33.33,33.33,33.33,33.33
05-05-05,5,33.7,33.7,33.7,33.7
06-05-05,6,33.3,34,33.3,34
16-05-05,2,34.1,34.1,34.1,34.1
19-05-05,5,34.7,34.7,34.7,34.7
25-05-05,4,35.7,35.7,35.7,35.7
26-05-05,5,35.5,35.5,35.5,35.5
31-05-05,3,34.77,34.77,34.77,34.77
06-06-05,2,35.6,35.6,35.53,35.53
07-06-05,3,35.7,35.7,35.7,35.7
08-06-05,4,37,37,37,37
10-06-05,6,36.9,37,36.9,37
15-06-05,4,37.8,37.9,37.8,37.9
17-06-05,6,36.2,36.2,36.2,36.2
22-06-05,4,36.65,36.9,36.2,36.9
23-06-05,5,36.1,36.1,36.1,36.1
29-06-05,4,36.7,36.7,36.7,36.7
30-06-05,5,37.5,37.5,37.5,37.5
01-07-05,6,38.2,38.2,38.2,38.2
04-07-05,2,38.15,38.4,38.15,38.4
06-07-05,4,38.5,38.5,38.5,38.5
07-07-05,5,38.7,38.7,38.7,38.7
08-07-05,6,38.8,38.8,38.8,38.8
11-07-05,2,46.5,46.5,38.7,38.7
12-07-05,3,39.9,39.9,39.2,39.2
14-07-05,5,39.7,39.7,39.05,39.05
15-07-05,6,36.32,46.81,36.32,39.4
18-07-05,2,39.1,39.1,38.99,38.99
20-07-05,4,34.7,46.4,33.34,39.7
26-07-05,3,41.5,42.4,41.5,42.03
27-07-05,4,43.6,43.6,43.6,43.6
29-07-05,6,44.58,44.58,38,44.35
01-08-05,2,44,44.5,43.36,43.58
02-08-05,3,44.3,44.8,43.7,43.7
03-08-05,4,44.8,44.8,44,44.8
04-08-05,5,38.61,44.2,38.61,44.2
05-08-05,6,44.7,44.7,44,44.6
08-08-05,2,43.2,43.21,42.2,42.35
09-08-05,3,42.31,43,41.5,41.75
10-08-05,4,42.3,42.3,42.3,42.3
11-08-05,5,43.8,43.8,42.8,42.8
12-08-05,6,43.67,43.67,43.67,43.67
16-08-05,3,43.9,43.9,43.35,43.35
17-08-05,4,43.8,43.8,43.8,43.8
18-08-05,5,43.7,43.78,43.43,43.43
19-08-05,6,42.96,42.96,42.65,42.65
22-08-05,2,50,50,41.91,41.91
23-08-05,3,42.38,42.38,41.2,41.2
24-08-05,4,41.2,41.2,41.2,41.2
25-08-05,5,41.4,41.4,41.1,41.1
30-08-05,3,41.1,41.5,40.9,40.9
31-08-05,4,41.8,41.8,41.8,41.8
01-09-05,5,42.2,42.2,41.54,41.59
02-09-05,6,41.3,41.3,41.3,41.3
05-09-05,2,42.8,42.8,42.8,42.8
06-09-05,3,42.9,42.98,42.9,42.98
08-09-05,5,43.3,43.3,43.3,43.3
09-09-05,6,43.2,43.2,43.2,43.2
12-09-05,2,43.81,43.81,43.8,43.8
13-09-05,3,45,45,44.2,44.2
14-09-05,4,45.15,45.15,44.8,45.03
15-09-05,5,45.11,45.11,45.11,45.11
16-09-05,6,45.16,45.75,45.16,45.75
19-09-05,2,45.75,46.2,45.75,46.2
21-09-05,4,46.8,46.9,46.8,46.9
23-09-05,6,44.4,44.4,44.4,44.4
27-09-05,3,46.6,46.6,46.3,46.3
28-09-05,4,46.3,46.3,46.3,46.3
29-09-05,5,47.3,47.3,46.7,46.7
30-09-05,6,46.8,46.8,46.8,46.8
04-10-05,3,47.3,48,47.3,48
06-10-05,5,46.6,46.6,46.6,46.6
07-10-05,6,45.2,45.2,45.2,45.2
13-10-05,5,45.91,45.91,45.91,45.91
21-10-05,6,42.4,42.57,42.4,42.54
24-10-05,2,41.8,41.8,41.8,41.8
25-10-05,3,41.9,42.63,41.9,42.61
28-10-05,6,40.2,40.2,40.2,40.2
09-11-05,4,42.1,42.1,42.1,42.1
10-11-05,5,42.2,42.2,42.2,42.2
11-11-05,6,42.4,42.4,42.4,42.4
14-11-05,2,42.9,43.2,42.9,43.2
16-11-05,4,43.7,43.7,43.7,43.7
17-11-05,5,44.5,44.5,44.5,44.5
18-11-05,6,45.45,45.45,44.9,44.9
21-11-05,2,44,44,44,44
22-11-05,3,43.5,43.5,43.5,43.5
23-11-05,4,43.7,43.7,43.7,43.7
24-11-05,5,44.3,44.3,44.3,44.3
25-11-05,6,44.8,44.8,44.8,44.8
28-11-05,2,45.4,45.4,45.4,45.4
29-11-05,3,44.8,44.8,44.8,44.8
30-11-05,4,45.18,45.18,45.18,45.18
01-12-05,5,44.1,44.1,43.4,44.1
02-12-05,6,45,45,45,45
05-12-05,2,44.5,44.5,44.5,44.5
06-12-05,3,43.8,43.8,43.6,43.6
07-12-05,4,43.9,43.9,43.9,43.9
08-12-05,5,44.1,44.1,43.9,43.9
09-12-05,6,44.2,44.4,43.61,44.4
12-12-05,2,44.9,44.9,44.9,44.9
13-12-05,3,45.6,45.6,45.6,45.6
14-12-05,4,46.06,46.4,46.06,46.4
15-12-05,5,46.1,46.5,45.6,46.5
16-12-05,6,44.52,46,44.52,45.7
19-12-05,2,46.5,46.5,46,46.5
21-12-05,4,46.4,46.4,46.4,46.4
26-12-05,2,44.31,44.31,44.31,44.31
02-01-06,2,46.5,46.5,46.5,46.5
04-01-06,4,48,48.46,48,48.3
05-01-06,5,48.6,48.8,48.29,48.4
06-01-06,6,49.3,49.43,48.5,48.5
09-01-06,2,47.7,47.7,47.7,47.7
10-01-06,3,47.6,47.6,47.6,47.6
12-01-06,5,47.7,47.7,47.7,47.7
13-01-06,6,47.8,48.1,47.7,47.7
16-01-06,2,47,47,47,47
17-01-06,3,47,47,47,47
18-01-06,4,45.8,45.8,45.5,45.5
19-01-06,5,46.2,46.2,46.2,46.2
23-01-06,2,46.3,46.3,46.3,46.3
24-01-06,3,46.9,46.9,46.9,46.9
25-01-06,4,46.9,46.9,46.9,46.9
27-01-06,6,46.8,47.6,46.8,47.6
30-01-06,2,46.6,46.6,46.6,46.6
02-02-06,5,46,46,46,46
03-02-06,6,45.5,45.5,45.5,45.5
06-02-06,2,46.2,46.2,46.2,46.2
07-02-06,3,46.5,46.5,46.4,46.4
08-02-06,4,46.4,46.4,46.2,46.2
10-02-06,6,47.2,47.2,47.2,47.2
13-02-06,2,47.6,47.6,47.6,47.6
15-02-06,4,45.5,46,45.44,45.8
16-02-06,5,46.1,46.1,46.1,46.1
17-02-06,6,45.4,45.5,45.25,45.25
20-02-06,2,44,44.8,44,44.8
21-02-06,3,45.2,45.2,45.2,45.2
23-02-06,5,44.68,44.68,44.68,44.68
27-02-06,2,45.2,46.2,45.2,46.2
28-02-06,3,45.4,45.4,45.4,45.4
02-03-06,5,46.5,47,46.5,46.75
03-03-06,6,47.1,47.1,47.1,47.1
06-03-06,2,46.3,47.09,46.3,46.31
07-03-06,3,46,46,46,46
08-03-06,4,46.1,46.1,46.1,46.1
10-03-06,6,46.4,46.4,46.4,46.4
21-03-06,3,46.9,47,46.9,47
23-03-06,5,45.8,47,45.77,47
24-03-06,6,46.9,46.9,46.9,46.9
27-03-06,2,47.2,47.2,46.9,46.9
28-03-06,3,46.6,46.6,46.59,46.59
29-03-06,4,46.47,46.47,46.47,46.47
30-03-06,5,47.2,47.2,47.2,47.2
31-03-06,6,47.1,47.1,47.1,47.1
05-04-06,4,48.5,48.5,48.4,48.4
07-04-06,6,48.4,48.4,48.4,48.4
10-04-06,2,46.7,46.7,46.7,46.7
12-04-06,4,46.5,46.5,45.67,45.67
13-04-06,5,45.1,45.7,44.8,44.8
19-04-06,4,47.3,47.3,45.95,45.95
21-04-06,6,45.58,45.7,45.58,45.67
24-04-06,2,46,46,45.7,45.7
25-04-06,3,45.7,45.7,44.9,44.9
26-04-06,4,45.2,45.3,44.9,44.9
28-04-06,6,43.6,43.7,43.6,43.7
02-05-06,3,47.7,47.7,47.7,47.7
03-05-06,4,47.5,47.5,47.5,47.5
04-05-06,5,48.4,49.1,48.4,49.1
05-05-06,6,49.6,49.6,48.8,48.8
08-05-06,2,48.4,49.11,48.4,49.11
10-05-06,4,50.2,50.2,50.2,50.2
11-05-06,5,49.6,50.4,49.6,50
12-05-06,6,48.5,48.5,48.5,48.5
15-05-06,2,48.5,48.5,47.7,47.95
16-05-06,3,46.3,46.3,46.3,46.3
18-05-06,5,46.9,47.4,46.3,46.3
19-05-06,6,44.2,44.2,44.2,44.2
22-05-06,2,42.9,42.9,42.5,42.5
23-05-06,3,42.1,42.1,42.1,42.1
29-05-06,2,44.3,44.3,43.5,43.5
01-06-06,5,41.4,41.4,41.4,41.4
05-06-06,2,41.6,41.6,41.6,41.6
07-06-06,4,40,40,40,40
08-06-06,5,38.37,38.37,38.35,38.35
09-06-06,6,37.5,38.5,37.1,38.5
13-06-06,3,35.7,35.7,35.7,35.7
14-06-06,4,37.1,37.1,35,35
15-06-06,5,37,37,37,37
22-06-06,5,38.2,38.5,38.2,38.4
26-06-06,2,37.3,37.3,37.1,37.12
03-07-06,2,37.83,37.83,37.83,37.83
04-07-06,3,37.7,38.7,37.7,38.7
11-07-06,3,38,38,38,38
13-07-06,5,37.1,37.8,37.1,37.8
17-07-06,2,37,37,37,37
19-07-06,4,36.2,36.2,35,35
20-07-06,5,36.7,37,36.7,36.98
27-07-06,5,39.2,39.2,39.2,39.2
28-07-06,6,41.1,41.1,41.1,41.1
31-07-06,2,41.4,41.4,41.3,41.3
07-08-06,2,42.4,42.4,42.4,42.4
08-08-06,3,42.6,42.6,42.6,42.6
09-08-06,4,43.4,43.4,43.4,43.4
